Title,Year,"Venue
(See Abbr -> Col-Q)",Paper URL,Feature Attribution (FIM),Probing (PRB),Tuple/Graph (TUP),Space Map (SPM),Rule/Grammar (RUL),Free Text (FRT),Concept/Sense (CPT),Example (EXP),Trigger (TRG),Word Cloud (WCL),Images (IMG),Confidence Score (CFD)
OpenDialKG: Explainable Conversational Reasoning with Attention-based Walks over Knowledge Graphs,2019,ACL,https://www.aclweb.org/anthology/P19-1081.pdf,,,"Visualize: Figure1.
Description: ""Conversational reasoning with a parallel (a)
dialog and (b) knowledge graph (KG) corpus.  Diverse
topical jumps across open-ended multi-turn dialogs are
annotated and grounded with a large-scale commonfact KG.""",,,,,,,,,
Pathologies of Neural Models Make Interpretations Difficult,2018,EMNLP,https://arxiv.org/pdf/1804.07781.pdf,"Visualize: Figure 1 & 2. Figure 5 & 6 & 7.
Description: ""We use input reduction, which iteratively removes the least important word from the input.""",,,,,,,,"Visualize: Figure 1 & 2. Figure 5 & 6 & 7.
Description: ""We use input reduction, which iteratively removes the least important word from the input.""",,,
Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT,2020,ACL,https://arxiv.org/pdf/2004.14786.pdf,,"Description: ""we propose a parameter-free probing technique for
analyzing pre-trained language models """,,,,,,,,,,
Predicting and interpreting embeddings for out of vocabulary words in downstream tasks,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5439.pdf,"Description: ""Our model also incorporates an attention
mechanism indicating the focus allocated to
the left context words, the right context words
or the word’s characters, hence making the
prediction more interpretable""",,,,,,,,,,,
Principles of Explanatory Debugging to Personalize Interactive Machine Learning,2015,IUI,https://openaccess.city.ac.uk/id/eprint/13819/1/paper326.pdf,"Visualize: Figure1.
Description: ""The Why explanation tells users how features and
folder size were used to predict each message’s topic. T""",,,,,,,,,,,
Probing Emergent Semantics in Predictive Agents via Question Answering,2020,Arxiv,https://arxiv.org/pdf/2006.01016.pdf,,"Description: ""we propose the question-conditional probing of agent
internal states as a means to study and quantify the knowledge about objects, properties, relations and quantities encoded in the internal representations of neural-networkbased agents. """,,,,,,,,,,
Probing for semantic evidence of composition by means of simple classification tasks,2016,Proceedings of the 1st Workshop on Evaluating Vector-Space Representations for NLP,https://www.aclweb.org/anthology/W16-2524.pdf,,"Description: ""We propose a diagnostic method for probing specific information captured in vector
representations of sentence meaning, via
simple classification tasks with strategically constructed sentence sets""",,,,,,,,,,
Probing Neural Dialog Models for Conversational Understanding,2020,ACL-NLP4ConvAI,https://arxiv.org/pdf/2006.08331.pdf,,"Visualize: Figure1.
Description: "" we analyze
the internal representations learned by neural
open-domain dialog systems and evaluate the
quality of these representations for learning
basic conversational skills.""",,,,,,,,,,
Program Induction by Rationale Generation: Learning to Solve and Explain Algebraic Word Problems,2017,ACL,https://www.aclweb.org/anthology/P17-1015.pdf,"Visualize: Figure4.
Description: ""Illustration of the most likely latent program inferred by our algorithm to explain a held-out
question-rationale pair""",,,,,"Visualize: Figure1.
Description: ""To make this task
more feasible, we solve these problems by
generating answer rationales, sequences
of natural language and human-readable
mathematical expressions that derive the
final answer through a series of small
steps.""",,,,,,
PROVER: Proof Generation for Interpretable Reasoning over Rules,2020,EMNLP,https://www.aclweb.org/anthology/2020.emnlp-main.9.pdf,,,,,"Visualize: Figure 2 & 3.
Description: ""Diagram showing two rule-bases with rules, facts, questions, answers and proofs. PROVER answers all
the questions correctly and also generates all the corresponding proofs accurately in the above scenarios.""",,,,,,,
Quick and (not so) Dirty: Unsupervised Selection of Justification Sentences for Multi-hop Question Answering,2020,EMNLP,https://www.aclweb.org/anthology/D19-1260.pdf,"Visualize: Figure1 & 2, Table1.
Description: "" A multiple-choice question from the ARC dataset
with the correct answer in bold, followed by justification sentences selected by our approach (ROCC) vs. sentences selected by a strong IR baseline (BM25). ROCC justification
sentences fully cover the five key terms in the question (shown
in italic),""",,,,,,,,,,,
Quint: Interpretable question answering over knowledge bases.,2017,EMNLP,https://www.aclweb.org/anthology/D17-2011.pdf,,,"Visualize: Figure 8 & 9 & 10.
Description: ""When QUINT answers a question, it visualizes
the complete derivation sequence from the
natural language utterance to the final answer. The derivation provides an explanation of how the syntactic structure of the
question was used to derive the structure
of a SPARQL query, and how the phrases
in the question were used to instantiate different parts of the query""",,,,,,,,,
Rationalizing Neural Predictions,2016,EMNLP,https://people.csail.mit.edu/taolei/papers/emnlp16_rationale.pdf,"Visualize: Figure 1 & 3 & 7.
Description: ""An example of a review with ranking in two categories. The rationale for Look prediction is shown in bold.""
""Examples of extracted rationales indicating the sentiments of various aspects. """,,,,,,,,,,,
Rethinking Cooperative Rationalization: Introspective Extraction and Complement Control,2019,EMNLP,https://arxiv.org/pdf/1910.13294.pdf,"Visualize: Figure1, Table 2.
Description: ""An example of the rationales extracted by different
models on the sentiment analysis task of beer reviews (appearance aspect).""",,,,,,,,,,,
Saliency-driven word alignment interpretation for neural machine translation,2019,ACL,https://www.aclweb.org/anthology/W19-5201.pdf,"Visualize: Figure1 & 2 & 3.
Description: "" Comparison of our saliency-based word
alignment interpretation of convolutional NMT model
with reference and attention interpretation""",,,,,,,,,,,
Self-Assembling Modular Networks for Interpretable Multi-Hop Reasoning,2019,EMNLP,https://www.aclweb.org/anthology/D19-1455.pdf,"Visualize: Figure3.
Description: ""The controller’s multi-hop attention map on the question (randomly chosen from the first 10 dev
examples). This attention is used to compute the subquestion representation that is passed to the modules.""",,,,"Visualize: Figure1.
Description: "" In this work, we present an interpretable, controllerbased Self-Assembling Neural Modular Network (Hu et al., 2017, 2018) for multi-hop reasoning, where we design four novel modules (Find, Relocate, Compare, NoOp) to perform unique types of language reasoning""",,,,,,,
Self-Critical Reasoning for Robust Visual Question Answering,2019,NeuIPS,https://arxiv.org/pdf/1905.09998.pdf,"Visualize: Figure2 & 4.
Description: ""We then analyze the correct answer’s sensitivity (Fork) to the detected objects via visual explanation and extract the most influential one in the proposal object set as the most influential object, which is also further strengthened via the influence strengthen loss
(left bottom block). """,,,"Decision Boundaries:
Visualize: Figure3.
Description: ""Decision boundaries and test set accuracies on synthetic data with various class ratios p, which is varied from 0.05, 0.1, 0.2, to 0.5 from left to right""",,,,,,,,
Self-Explaining Structures Improve NLP Models,2020,Arxiv,https://arxiv.org/pdf/2012.01786.pdf,"Visualize: Table 5 & 6 & 7.
Description: "": Examples of correctly classified texts and the corresponding extracted text spans by different models.""",,,,,,,,,,,
Seq2seq-vis: A visual debugging tool for sequence-to-sequence models,2018,IEEE transactions on visualization and computer graphics,https://arxiv.org/pdf/1804.09299.pdf,"Visualize: Figure 7.
Description: ""Overview of Seq2Seq-Vis: The two main views (a) Translation View and (b) Neighborhood View facilitate different modes of analysis.
Translation View provides (c) visualizations for attention, (d) the top k word predictions for each time step""",,"Visualize: Figure 5 & 6.
Description: "" Hypotheses: Attention (S3), Prediction (S4), or Beam Search (S5)
Error – encoder words and decoder words (E/D), Attention (S3), top k
predictions for each time step in decoder (S4), and beam search tree
(S5)""","Visualize: Figure 3 & 4.
Description: ""Hypothesis: Decoder (S2) Error – nearest neighbors of decoder
state for gets and streets, which are close in projection space.""",,,,"Visualize: Figure 7.
Description: "" (h) a list of nearest neighbors
for a specific model state.""",,,,
"Show, attend and tell: Neural image caption generation with visual attention",2015,ICML,https://arxiv.org/pdf/1502.03044.pdf,"Visualize: Figure 2 & 3 & 5.
Description: ""Attention over time. As the model generates each word, its attention changes to reflect the relevant parts of the image. “soft” (top row) vs “hard” (bottom row) attention. (Note that both models generated the same captions in this example.)""
""Examples of mistakes where we can use attention to gain intuition into what the model saw.""",,,,,,,,,,,
SPINE: SParse Interpretable Neural Embeddings,2018,AAAI,https://arxiv.org/pdf/1711.08792.pdf,,,,,,,"Visualize:  Table1.
Description: 
""participants were asked to list the properties of
several words and concepts, it was observed that they typically used few sparse characteristic properties to describe
the words, with limited overlap between different words.""",,,,,
Tell-and-answer: Towards explainable visual question answering using attributes and captions,2018,EMNLP,https://arxiv.org/pdf/1801.09041.pdf,,,,,,"Visualize: Figure1 & 8.
Description: "" An example of explanation and reasoning in
VQA. We first extract attributes in the image such as “sit”,
“phone” and “woman.” A caption is also generated to encode the relationship between these attributes, e.g. “woman
sitting on a bench.” Then a reasoning module uses these
explanations to predict an answer “talking on the phone.”""",,,,,,
The elephant in the interpretability room: Why use attention as explanation when we have saliency methods?,2020,BlackboxNLP,https://www.aclweb.org/anthology/2020.blackboxnlp-1.14.pdf,"Visualize: None;
Description: ""Attention Weights"", ""Saliency""
s a saliency (scalar) of input: gradient.
Occlusion-based methods compute input saliency by occluding (or erasing) input features and measuring
how that affects the model.",,,,,,,,,,,
"The Language Interpretability Tool: Extensible, Interactive Visualizations and Analysis for NLP Models",2020,EMNLP,https://arxiv.org/pdf/2008.05122.pdf,"Visualize: Figure 1 & 2 & 3.
Description: ""Tabs present different modules in the bottom half; the view above
shows classifier predictions, an attention visualization, and a confusion matrix.""",,"Visualize: Figure 3.
Description: ""Exploring a coreference model on the Winogender dataset.""","Visualize: Figure 1.
Description: ""The top half shows a selection toolbar, and, left-to-right: the embedding
projector, the data table, and the datapoint editor. ""","Visualize: Figure 3.
Description: ""Exploring a coreference model on the Winogender dataset.""","Visualize: Figure 4.
Description: "": Investigating a local generation error, from selection of an interesting example to finding relevant training datapoints that led to an error.""",,"Visualize: Figure 1.
Description: ""The top half shows a selection toolbar, and, left-to-right: the embedding
projector, the data table, and the datapoint editor. """,,,,"Prediction Confidence
Visualize: Figure1.
Description: """"Tabs present different modules in the bottom half; the view above
shows classifier predictions, an attention visualization, and a confusion matrix."""""""
The Promise and Peril of Human Evaluation for Model Interpretability,2019,,https://arxiv.org/pdf/1711.07414v1.pdf,,,,"Description: ""An interpretable explanation, or explanation, is a simple model, visualization, or text description that lies in an interpretable feature space and approximates a more complex model.""",,"Description: ""In contrast to descriptive explanations, persuasive explanation strategiesdo not achieve maximum
model fidelity and often incorporate user preferences, knowledge, or characteristics. Much like a
persuasive argument, these explanations balance accuracy with being convincing to the user. """,,,,,,
"Toward Machine-Guided, Human-Initiated Explanatory Interactive Learning",2020,TAILOR workshop at ECAI ,https://arxiv.org/pdf/2007.10018.pdf,,,,"Decision Surface/Decesion Boundary:
Visualize: Figure 1 & 2 & 4.
Description: ""The decision surfaces of the classifier trained on the points selected by the
strategies based on guided learning are shown in Figure 4. """,,,,,,,,
Towards Accountable AI: Hybrid Human-Machine Analyses for Characterizing System Failure,2018,HCOMP,https://arxiv.org/pdf/1809.07424.pdf,,,"Visualize: Figure3 & 4.
Description: ""To illustrate the failure conditions learned by decision trees
in Pandora, we show tree examples for different types of views""",,,,"Visualize: Table 2 & 3 & 4 & 5.
Description: ""System performance is non-uniform and varies
significantly across topical clusters.""",,,,,
Towards Explainable NLP: A Generative Explanation Framework for Text Classification,2019,ACL,https://www.aclweb.org/anthology/P19-1560.pdf,,,,,,"Visualize: Table 9.
Description: ""we propose a novel generative explanation framework that learns to make classification decisions and generate fine-grained explanations
at the same time. More specifically, we introduce the explainable factor and the minimum
risk training approach that learn to generate
more reasonable explanations.""",,,,,,
Towards Faithfully Interpretable NLP Systems: How should we define and evaluate faithfulness?,2020,ACL,https://www.aclweb.org/anthology/2020.acl-main.386.pdf,,,,,,,,,,,,
Towards Interpretable Reasoning over Paragraph Effects in Situation,2020,EMNLP,https://arxiv.org/pdf/2010.01272.pdf,"Visualize: Table 1 & 4.
Description: ""An example from the ROPES dataset. Effect
property tokens are highlighted in blue, cause property
tokens in orange, and world tokens in green.""",,,,,,,,,,,
Towards Transparent and Explainable Attention Models,2020,ACL,https://arxiv.org/pdf/2004.14243.pdf,"Visualize: Table 1
Description: Attention Distribution",,,,,,,,,,,
"Train, Sort, Explain: Learning to Diagnose Translation Models",2019,NAACL,https://www.aclweb.org/anthology/N19-4006.pdf,"Visualize: Figure 2 & 3.
Description: "" A heatmap of contribution scores in word
vector space over a sequence of tokens.""",,,,,,,,,,,
Training Classifiers with Natural Language Explanations,2018,ACL,https://www.aclweb.org/anthology/P18-1175.pdf,,,,,"Visualize: Figure1 & 2 & 3 & 5.
Description: "" A semantic parser converts these explanations into programmatic labeling functions that generate noisy labels for an arbitrary amount of
unlabeled data, which is used to train a classifier.""","Visualize: Figure1 & 2.
Description: ”we propose BabbleLabble, a framework for training
classifiers in which an annotator provides
a natural language explanation for each
labeling decision. “",,,,,,
Transformers as Soft Reasoners over Language,2020,IJCAI,https://arxiv.org/pdf/2002.05867.pdf,,,,,"Visualize: Figure 1 & 3 & 5 & 6.
Description: ""Questions in our datasets involve reasoning with rules. The inputs to the model are the context (facts + rules) and a question. The output is the T/F answer to the question""","Visualize: Figure 1 & 3 & 5 & 6.
Description: ""This paper investigates a modern approach
to this problem where the facts and rules are provided as natural language sentences, thus bypassing
a formal representation.""",,,,,,
Trick Me If You Can: Human-in-the-Loop Generation of Adversarial Examples for Question Answering,2019,TACL,https://arxiv.org/pdf/1809.02701.pdf,"Visualize: Figure3 & 8 & 9.
Description: ""The author writes a question (top right), the QA system provides guesses (left), and explains
why it makes those guesses (bottom right). """,,,,,,,,,,,
Under the Hood: Using Diagnostic Classifiers to Investigate and Improve how Language Models Track Agreement Information,2018,BlackboxNLP,https://arxiv.org/pdf/1808.08079.pdf,,"Description: ""Visualisation and'diagnostic classifiers' reveal how recurrent and recursive neural networks process hierarchical structure""",,,,,,,,,,
Understanding black-box predictions via influence functions,2017,ICML,https://arxiv.org/pdf/1703.04730.pdf,,,,,,,,"Description: ""In this paper, we use influence functions — a classic technique from robust statistics — to trace a model’s prediction through the
learning algorithm and back to its training data,
thereby identifying training points most responsible for a given prediction. """,,,,
Understanding Convolutional Neural Networks for Text Classification,2018,EMNLP,https://arxiv.org/pdf/1809.08037.pdf,"Visualize: Table 4, Figure3.
Description: "" Top-scoring ngrams from one filter from a
model trained on the Elec dataset, and their accompanying lowest-scoring negative ngrams. We selected a hamming distance of 1 word. Bold ngrams are Case 2
negative ngrams.""",,,,,,,,,,,
Understanding Neural Abstractive Summarization Models via Uncertainty,2020,EMNLP,https://arxiv.org/pdf/2010.07882.pdf,,,,,,,,,,,,"Uncertainty / Entropy
Visualize: Figure 2 & 3.
Description: "" In this
work, we analyze summarization decoders in
both blackbox and whitebox ways by studying
on the entropy, or uncertainty, of the model’s
token-level predictions."""
Understanding neural networks through representation erasure,2016,Arxiv,https://arxiv.org/pdf/1612.08220.pdf,"Visualize: Figure 1 & 2.
Description: "": Heatmap of word vector dimension importance I(d), computed using Eq. 1, for different training strategies and word vectors.""
"" Heatmap of importance (computed using Eq. 1)
of each layer for the POS task.""",,,,,,,,,,,
Universal adversarial triggers for attacking and analyzing NLP,2019,EMNLP-IJCNLP,https://www.aclweb.org/anthology/D19-1221.pdf,,,,,,"Visualize: Table1;
Description: ” We propose a gradientguided search over tokens which finds short trigger sequences (e.g., one word for classification and four words for language modeling) that successfully trigger the target prediction. “",,,"Triggers
input-agnostic sequences of tokens that trigger a model to produce a specific prediction when concatenated to any input from a dataset",,,
Unsupervised Alignment-based Iterative Evidence Retrieval for Multi-hop Question Answering,2020,ACL,https://arxiv.org/pdf/2005.01218.pdf,,,,,,,,"Visualize: Figure 1 & 2.
Description: ""Evidence retrieval is a critical stage of question answering (QA), necessary not only to improve performance, but also to explain the decisions of the corresponding QA method. We introduce a simple, fast, and unsupervised iterative evidence retrieval method,""",,,,
Unsupervised Discrete Sentence Representation Learning for Interpretable Neural Dialog Generation,2018,ACL,https://www.aclweb.org/anthology/P18-1101.pdf,,,,,,,"Visualize: Table 5 & 8.
Description: ""Example latent actions discovered in
SMD using our methods.""
"" Interpretable dialog generation on SMD
with top probable latent actions. AE-ED predicts
more fine-grained but more error-prone actions.""",,,,,
Unsupervised Token-wise Alignment to Improve Interpretation of Encoder-Decoder Models,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5410.pdf,"Visualize: Figure 2 &3 .
Description: ""Visualization of models. The x-axis and
y-axis correspond to the source and the target sequence respectively. Tokens in the brackets are
source-side tokens aligned at that time step.""",,,,,,,,,,,
"Unsupervised, Knowledge-Free, and Interpretable Word Sense Disambiguation",2017,EMNLP,https://www.aclweb.org/anthology/D17-2016.pdf,,,,,,,,"Visualize: Figure2.
Description: ""The predicted sense is summarized with
a hypernym and an image (D) and further represented with usage examples, semantically related words,
and typical context clues.""",,,"Image:
Visualize: Figure3.
Description: "" All words disambiguation mode: results of disambiguation of all nouns in a sentence.""",
Using “Annotator Rationales” to Improve Machine Learning for Text Categorization,2007,NAACL,https://www.aclweb.org/anthology/N07-1033.pdf,"Description: Our goal is to learn from smaller
amounts of supervised training data, by collecting a
richer kind of training data: annotations with “rationales.”""",,,,,,,,,,,
Using Explanations to Improve Ensembling of Visual Question Answering Systems,2017,Proceedings of the IJCAI 2017 Workshop on Explainable Artificial Intelligence (XAI),https://www.cs.utexas.edu/users/ml/papers/rajani.xai17.pdf,"Visualize: Figure 3.
Description: "": On the left is an image from the VQA dataset and on the right is the heat-map overlaid on the image for the question - ’What is the man eating?’""",,,,,,,,,,,
Using regional saliency for speech emotion recognition.,2017,"ICASSP (IEEE International Conference on Acous- tics, Speech and Signal Processing)",https://web.eecs.umich.edu/~emilykmp/EmilyPapers/2017_Aldeneh_ICASSP.pdf,"Description: ""we show that convolutional neural networks
can be directly applied to temporal low-level acoustic features to identify emotionally salient regions without the need for defining or applying utterance-level statistics.""",,,,,,,,,,,
Visualisation and'diagnostic classifiers' reveal how recurrent and recursive neural networks process hierarchical structure,2018,Journal of Artificial Intelligence Research,https://arxiv.org/pdf/1711.10203.pdf,"Visualize: Figure 11.
Description: "" Hidden layer activations of a trained GRU network while processing different sequences.
The input labels, along with the mode (addition/subtraction) at every point in time are printed left of
the activation values.""","Description: ""To test whether our trained networks are following either the cumulative or recursive strategy, we
train diagnostic classifiers to predict the sequences of intermediate results of both these strategies, as
well as the variable mode used by the cumulative strategy to determine whether the next number
should be added or subtracted. As the diagnostic model should merely read out whether certain
information is present in the hidden representations rather than perform complex computations itself,
we use a simple linear model as diagnostic classifier.""","Visualize: Figure 4 & 5.
Description: ""A TreeRNN to compute the meaning of the sentence ( 5 - ( 2 + 3 ) ). (b) Training setup of the TreeRNN. A comparison layer, on top of two TreeRNNs, is trained to predict whether
left expression is smaller than, equal to or larger than the right one.""",,,,,,,,,
Visualizing and Understanding Neural Machine Translation,2018,ACL,https://www.aclweb.org/anthology/P17-1106.pdf,"Visualize: Figure 4, 5, 6, 7, 8, 9, 10, 11.
Description: ""we propose to use layer-wise relevance propagation
(LRP) to compute the contribution of each contextual word to arbitrary hidden states in the attention-based encoderdecoder framework. """,,,,,,,,,,,
Visualizing and Understanding Neural Models in NLP,2016,NAACL,https://www.aclweb.org/anthology/N16-1082.pdf,"Visualize: Figure1 & 3 & 6 & 8 & 9.
Description: "" Visualizing intensification and negation. Each
vertical bar shows the value of one dimension in the final
sentence/phrase representation after compositions.""",,"Visualize: Figure2 & 4.
Description: "" t-SNE Visualization on latent representations for modifications and negations""",,,,,,,,,
Visualizing and Understanding the Effectiveness of BERT,2019,EMNLP-IJCNLP,https://arxiv.org/pdf/1908.05620.pdf,,,,"Loss Surface / Optimization Trajectory:
Visualize: Figure 1, Figure 3 & 4 & 6 & 7.
Description: ""Training loss surfaces of training from scratch (top) and fine-tuning BERT (bottom) on four datasets. We annotate the start point (i.e., initialized model) and the end point (i.e., estimated model) in the loss surfaces""",,,,,,,,
"Vokenization: Improving Language Understanding with Contextualized, Visual-Grounded Supervision",2020,EMNLP,https://arxiv.org/pdf/2010.06775.pdf,,,,,,,,,,,"Images
""we develop a technique named “vokenization” that extrapolates multimodal alignments to language-only data by contextually mapping language tokens to their related images (which we call “vokens”).""",
"Vqa-e: Explaining, elaborating, and enhancing your answers for visual questions",2018,ECCV,https://openaccess.thecvf.com/content_ECCV_2018/papers/Qing_Li_VQA-E_Explaining_Elaborating_ECCV_2018_paper.pdf,,,"Visualize: Figure2.
Description: ""The statement and the most relevant caption are both parsed
into constituency trees. These two trees are then aligned by the common node. The
subtree including the common node in the statement is merged into the caption tree
to obtain the explanation""",,,"Visualize: Figure 1 & 2 & 5 & 6.
Description: ""VQA-E provides insightful information that can explain, elaborate or enhance
predicted answers compared with the traditional VQA task"" 
""An example of the pipeline to fuse the question (Q), the answer (A) and the
relevant caption (C) into an explanation (E). """,,,,,,
What BERT is not: Lessons from a new suite of psycholinguistic diagnostics for language models,2020,TACL,https://arxiv.org/pdf/1907.13528.pdf,,"Description: ""Probing on human psycholinguistic experiments.
""we introduce a suite of diagnostics drawn from human language experiments, which allow us to ask targeted questions about information used by language
models for generating predictions in context.""",,,,,,,,,,
What can AI do for me? evaluating machine learning interpretations in cooperative play,2019,IUI,https://arxiv.org/pdf/1810.09648.pdf,"Visualize: Figure 1. Figure 7 & 8 / Question.
Description: ""Highlighting Important Features. Model predictions can be explained by highlighting the most salient features in the input, typically visualized by a heat map. """,,,,,,,"Visualize: Figure 1 / Evidence.
Description: ""Interpretation by Example. We can explain a prediction on a
test example by finding the most influential training examples.
Various metrics exist for finding important training examples, such
as distance in the representation space which is natural to linear
models, clustering algorithms and their deep variation [49], and
influence functions [33] for non-linear models.""",,,,"Uncertainty Score:
Visualize: Figure 1 / Guesses.
Description: ""Conveying Uncertainty. Augmenting the prediction from a neural
network classifier with a confidence score (a value between zero and
one) conveys the uncertainty of the model. In a cooperative setting,
the uncertainty helps humans decide to trust the model or not [3, 57].
To make it more informative, we can also display the confidence for
the classes other than the top one"""
What do Neural Machine Translation Models Learn about Morphology?,2017,ACL,https://www.aclweb.org/anthology/P17-1080.pdf,,"Description: ""we analyze the representations learned by neural MT models at various levels of granularity and empirically
evaluate the quality of the representations
for learning morphology through extrinsic
part-of-speech and morphological tagging
tasks. """,,,,,,,,,,
What do you learn from context? Probing for sentence structure in contextualized word representations,2019,ICLR,https://arxiv.org/pdf/1905.06316.pdf,,"Description: ""Building on recent token-level probing
work, we introduce a novel edge probing task design and construct a broad suite
of sub-sentence tasks derived from the traditional structured NLP pipeline. We
probe word-level contextual representations from four recent models and investigate how they encode sentence structure across a range of syntactic, semantic,
local, and long-range phenomena. """,,,,,,,,,,
What Does BERT Learn about the Structure of Language?,2019,ACL,https://www.aclweb.org/anthology/P19-1356.pdf,,"Description: ""we use probing tasks to assess individual model layers in their ability to
encode different types of linguistic features""","Visualize: Figure 2.
Description: ""Dependency parse tree induced from attention head #11 in layer #2 using gold root (‘are’) as starting node for maximum spanning tree algorithm.""","Visualize: Figure1.
Description: ""2D t-SNE plot of span embeddings computed from the first and last two layers of BERT.""",,,,,,,,
What does bert look at? an analysis of bert's attention,2019,BlackboxNLP,https://arxiv.org/pdf/1906.04341.pdf,,"Description: ""We next probe each attention head for linguistic
phenomena. In particular, we treat each head as a
simple no-training-required classifier that, given a
word as input, outputs the most-attended-to other
word. We then evaluate the ability of the heads
to classify various syntactic relations.""","Visualize: Figure1 & 5.
Description: ""Examples of heads exhibiting the patterns discussed in Section 3. The darkness of a line indicates the strength of the attention weight (some attention weights are so low they are invisible).""","Visualize: Figure 6.
Description: ""BERT attention heads embedded in twodimensional space. Distance between points approximately matches the average Jensen-Shannon divergences between the outputs of the corresponding heads.
Heads in the same layer tend to be close together.""",,,,,,,,
What does this word mean? explaining contextualized embeddings with natural language definition,2019,EMNLP,https://www.aclweb.org/anthology/D19-1627.pdf,,,,,,,"Visualize:  Table 3
Description:  ""this paper analyzes whether they can indicate the corresponding sense definitions and proposes a general framework that is capable of explaining word meanings given contextualized word embeddings for better interpretation.""",,,,,
What is one grain of sand in the desert? analyzing individual neurons in deep nlp models,2019,AAAI,https://arxiv.org/pdf/1812.09355.pdf,"Visualize: Figure 3.
Description: Activations of top neurons for specific properties",,,,,,,,,,,
What you can cram into a single $&!#* vector: Probing sentence embeddings for linguistic properties,2018,ACL,https://www.aclweb.org/anthology/P18-1198.pdf,,"Description: ""We introduce here 10 probing
tasks designed to capture simple linguistic features of sentences, and we use them
to study embeddings generated by three
different encoders trained in eight distinct
ways, uncovering intriguing properties of
both encoders and training methods.""",,,,,,,,,,
Why Attention is Not Explanation: Surgical Intervention and Causal Reasoning about Neural Models,2020,LREC,https://www.aclweb.org/anthology/2020.lrec-1.220.pdf,"Visualize: None;
Description: ""Attention Weights""",,,,,,,,,,,
Word2Sense: sparse interpretable word embeddings,2019,ACL,https://www.aclweb.org/anthology/P19-1570.pdf,,,,,,,"Visualize:  Table 1
Description:  ""We describe precisely such an embedding of
words in a space where each dimension corresponds to a sense. Words are represented as probability distributions over senses so that the magnitude of each coordinate represents the relative importance of the corresponding sense to the word.""",,,,,
